track_key,song,artist,entry_date,exit_date,entry_position,best_position,exit_position,observations,entry_popularity,peak_popularity,exit_popularity,album_type,total_tracks,is_explicit,duration_min,calendar_days,days_on_playlist,continuity,continuity_percentage,peak_date,peak_position_check,time_to_peak_days,rank_slope,popularity_slope,rank_improvement,rank_change_entry_to_exit,rank_movement,popularity_change,popularity_growth_percentage,lifecycle_stage,retention_stability_index,entry_age_days,content_maturity,retention_segment,entry_strength
se te nota (feat. peso pluma) | myke towers,SE TE NOTA (feat. Peso Pluma),Myke Towers,2025-08-24,2025-08-25,27,27,47,2,0,63,63,album,20,True,3.168433333333333,2,2,1.0,100.0,2025-08-24,27,0,19.99999999999999,62.999999999999986,0,20,Declining,63,,New Entry,4.76,463,Established,Short Retention,Weak Entry
spanish teteo | rvfv & rels b & omar montes,SPANISH TETEO,Rvfv & Rels B & Omar Montes,2024-09-10,2024-09-11,50,50,50,2,59,63,63,single,1,True,3.0196,2,2,1.0,100.0,2024-09-10,50,0,-2.359760608687704e-15,3.999999999999984,0,0,Stable,4,6.779661016949152,New Entry,100.0,115,Mature,Short Retention,Weak Entry
ritmo de medallo | feid,RITMO DE MEDALLO,Feid,2024-09-30,2024-10-01,37,37,37,2,0,0,0,album,15,False,1.9782166666666667,2,2,1.0,100.0,2024-09-30,37,0,-9.021098756438643e-15,0.0,0,0,Stable,0,,New Entry,100.0,135,Mature,Short Retention,Weak Entry
fecha - intro extended | renzo pianciola,Fecha - Intro Extended,Renzo Pianciola,2025-04-19,2025-04-20,47,46,46,2,0,15,15,single,1,False,3.1633666666666667,2,2,1.0,100.0,2025-04-20,46,1,-1.0000000000000053,14.999999999999996,1,-1,Improving,15,,New Entry,50.0,336,Established,Short Retention,Weak Entry
birds of a feather | billie eilish,BIRDS OF A FEATHER,Billie Eilish,2025-06-12,2025-06-13,49,49,49,2,92,92,92,album,10,False,3.5062166666666665,2,2,1.0,100.0,2025-06-12,49,0,-1.0797455595838894e-14,-1.537766225377691e-14,0,0,Stable,0,0.0,New Entry,100.0,390,Established,Short Retention,Weak Entry
4 prez | cruz cafuné,4 PREZ,Cruz Cafuné,2024-05-28,2024-05-29,35,35,46,2,53,56,56,album,23,True,2.4914,2,2,1.0,100.0,2024-05-28,35,0,10.999999999999995,2.9999999999999916,0,11,Declining,3,5.660377358490567,New Entry,8.33,10,Fresh,Short Retention,Weak Entry
de plastilina | lola indigo & pepe y vizio,DE PLASTILINA,Lola Indigo & Pepe y Vizio,2024-10-21,2024-10-22,40,40,50,2,0,32,32,single,1,False,3.4922166666666667,2,2,1.0,100.0,2024-10-21,40,0,9.999999999999995,31.999999999999993,0,10,Declining,32,,New Entry,9.09,156,Mature,Short Retention,Weak Entry
constelación | duki & lia kali,Constelación,Duki & Lia Kali,2025-11-01,2025-11-02,29,29,50,2,58,62,62,single,1,False,3.34385,2,2,1.0,100.0,2025-11-01,29,0,20.999999999999993,3.99999999999999,0,21,Declining,4,6.896551724137931,New Entry,4.55,532,Established,Short Retention,Weak Entry
comuna 3 | jc reyes & the rude boyz,COMUNA 3,JC Reyes & The Rude Boyz,2025-05-16,2025-05-17,47,38,38,2,61,61,61,single,1,False,2.5688,2,2,1.0,100.0,2025-05-17,38,1,-9.000000000000007,-9.021098756438643e-15,9,-9,Improving,0,0.0,New Entry,10.0,363,Established,Short Retention,Weak Entry
feliz navidad | saiko,Feliz Navidad,Saiko,2024-12-19,2024-12-20,36,36,46,2,55,58,58,single,3,False,3.6380333333333335,2,2,1.0,100.0,2024-12-19,36,0,9.999999999999993,2.999999999999987,0,10,Declining,3,5.454545454545454,New Entry,9.09,215,Established,Short Retention,Weak Entry
