song,artist,entry_date,exit_date,days_on_playlist,observations,continuity_percentage,best_position,lifecycle_stage
HALO,Quevedo,2025-11-24,2025-11-27,4,4,100.0,7,New Entry
KASSANDRA,Quevedo,2025-11-24,2025-11-27,4,4,100.0,2,New Entry
LOKITA,Mora,2024-08-30,2024-09-02,4,4,100.0,13,New Entry
Maquillaje - Remix,refracted arg,2025-04-21,2025-04-24,4,4,100.0,32,New Entry
LAGUNA,Mora,2024-08-30,2024-09-02,4,4,100.0,11,New Entry
2AM,Sebastian Yatra & Bad Gyal,2025-11-24,2025-11-27,4,4,100.0,31,New Entry
caída del cielo <3,Rels B,2025-04-28,2025-05-01,4,2,50.0,38,New Entry
BUENAS NOCHES,Quevedo,2025-11-24,2025-11-27,4,4,100.0,18,New Entry
BOREAL,SAIKO,2025-04-28,2025-05-01,4,4,100.0,22,New Entry
AMANECIÓ,Quevedo,2025-11-24,2025-11-27,4,4,100.0,13,New Entry
ALAKRAN,Feid,2024-12-02,2024-12-05,4,3,75.0,24,New Entry
14 FEBREROS,Quevedo,2025-11-24,2025-11-27,4,4,100.0,9,New Entry
Baja Pa' Acá,Rauw Alejandro,2025-11-17,2025-11-20,4,4,100.0,22,New Entry
Dicelo,Lianet Rivero & Lia & Gatillo,2024-10-20,2024-10-23,4,4,100.0,24,New Entry
CHAPIADORA.COM,Quevedo,2025-11-24,2025-11-27,4,4,100.0,8,New Entry
Cosas Pendientes,Maluma,2025-11-24,2025-11-27,4,2,50.0,37,New Entry
CÓRCEGA,Mora,2024-08-30,2024-09-02,4,4,100.0,17,New Entry
DIAMONDS,Mora,2024-08-30,2024-09-02,4,4,100.0,18,New Entry
La Canción Feliz Del Disco,Eladio Carrion,2025-01-21,2025-01-24,4,4,100.0,13,New Entry
EL CHACAL,Mora,2024-08-30,2024-09-02,4,4,100.0,10,New Entry
EL ESTRIBILLO,Quevedo,2025-11-24,2025-11-27,4,4,100.0,16,New Entry
OTRA NOCHE,Myke Towers & Darell,2025-08-20,2025-08-23,4,4,100.0,36,New Entry
MR. MOONDIAL,Quevedo,2025-11-24,2025-11-27,4,4,100.0,5,New Entry
No Digas Na,Feid & Yandel,2025-04-17,2025-04-20,4,4,100.0,48,New Entry
Rockin' Around The Christmas Tree,Brenda Lee,2024-12-24,2024-12-27,4,4,100.0,7,New Entry
SHIBATTO,Quevedo,2025-11-24,2025-11-27,4,4,100.0,3,New Entry
SI TE PEGAS,Rauw Alejandro,2024-07-09,2024-07-12,4,4,100.0,30,New Entry
Qué Pecao,Manuel Turizo,2025-11-24,2025-11-27,4,4,100.0,34,New Entry
Remember Me,Duki,2024-07-19,2024-07-22,4,4,100.0,43,New Entry
PIDE,Mora,2024-08-30,2024-09-02,4,4,100.0,15,New Entry
PERROS&GATA$,Nicki Nicole & SAIKO,2025-07-04,2025-07-07,4,4,100.0,45,New Entry
POR ATRÁS,Quevedo,2025-11-24,2025-11-27,4,4,100.0,11,New Entry
RKO,Eladio Carrion,2025-01-21,2025-01-24,4,4,100.0,20,New Entry
